n_threads;time(s);mPow_size
1;4.00003e-06;4
1;4.00003e-06;4
1;3.9998e-06;4
1;4.00003e-06;4
1;4.00003e-06;4
2;2.19999e-05;4
2;2.09999e-05;4
2;2.20002e-05;4
2;2.30002e-05;4
2;2.20002e-05;4
4;2.9e-05;4
4;3e-05;4
4;3e-05;4
4;3.3e-05;4
4;3e-05;4
8;3.80001e-05;4
8;5.09999e-05;4
8;7.90001e-05;4
8;5.8e-05;4
8;4.79999e-05;4
16;7.40001e-05;4
16;8.09999e-05;4
16;0.000106;4
16;0.000118;4
16;0.000108;4
32;0.000124;4
32;0.000198;4
32;0.000163;4
32;0.000134;4
32;0.00019;4
64;0.000242;4
64;0.000313;4
64;0.000264;4
64;0.000286;4
64;0.000208;4
96;0.000407;4
96;0.000464;4
96;0.000336;4
96;0.00048;4
96;0.000431;4
1;7.99983e-06;5
1;8.00006e-06;5
1;8.00006e-06;5
1;7.99983e-06;5
1;8.00006e-06;5
2;1.80001e-05;5
2;1.90001e-05;5
2;1.79999e-05;5
2;1.89999e-05;5
2;1.89999e-05;5
4;2.5e-05;5
4;2.6e-05;5
4;2.60002e-05;5
4;2.29999e-05;5
4;2.29999e-05;5
8;3.1e-05;5
8;3.69998e-05;5
8;3.90001e-05;5
8;4.80001e-05;5
8;3.80001e-05;5
16;5.19999e-05;5
16;6.3e-05;5
16;0.000104;5
16;6.90001e-05;5
16;9.90001e-05;5
32;9.1e-05;5
32;0.000125;5
32;0.000136;5
32;0.000169;5
32;0.000154;5
64;0.000209;5
64;0.000211;5
64;0.000215;5
64;0.000207;5
64;0.000271;5
96;0.000244;5
96;0.000209;5
96;0.000268;5
96;0.000325;5
96;0.000252;5
1;2.6e-05;6
1;2.9e-05;6
1;2.8e-05;6
1;2.80002e-05;6
1;2.8e-05;6
2;4.00001e-05;6
2;3.6e-05;6
2;3.69998e-05;6
2;3.5e-05;6
2;3.6e-05;6
4;3.80001e-05;6
4;4.20001e-05;6
4;3.90001e-05;6
4;4.50001e-05;6
4;4.40001e-05;6
8;5.19999e-05;6
8;5.60002e-05;6
8;5.9e-05;6
8;5.29999e-05;6
8;8.10002e-05;6
16;0.000107;6
16;0.000118;6
16;0.000105;6
16;0.000122;6
16;0.000138;6
32;0.000149;6
32;0.000155;6
32;0.000127;6
32;0.000141;6
32;0.000128;6
64;0.000183;6
64;0.000249;6
64;0.00023;6
64;0.000283;6
64;0.000234;6
96;0.000264;6
96;0.000262;6
96;0.000237;6
96;0.000227;6
96;0.00028;6
1;0.000101;7
1;0.000106;7
1;9.7e-05;7
1;9.8e-05;7
1;9.8e-05;7
2;0.00011;7
2;0.00011;7
2;0.000115;7
2;0.00011;7
2;0.000111;7
4;0.000112;7
4;0.000117;7
4;0.000113;7
4;0.000116;7
4;0.000124;7
8;0.000126;7
8;0.000133;7
8;0.000139;7
8;0.000139;7
8;0.000162;7
16;0.000157;7
16;0.000161;7
16;0.000155;7
16;0.000174;7
16;0.000152;7
32;0.000192;7
32;0.000185;7
32;0.000181;7
32;0.000176;7
32;0.000201;7
64;0.000348;7
64;0.000331;7
64;0.000335;7
64;0.000234;7
64;0.000288;7
96;0.000311;7
96;0.000354;7
96;0.00035;7
96;0.000335;7
96;0.000378;7
1;0.000404;8
1;0.000416;8
1;0.000413;8
1;0.000412;8
1;0.000413;8
2;0.000422;8
2;0.000428;8
2;0.000434;8
2;0.000433;8
2;0.000436;8
4;0.000434;8
4;0.000433;8
4;0.000435;8
4;0.000434;8
4;0.000441;8
8;0.00047;8
8;0.00048;8
8;0.000481;8
8;0.000462;8
8;0.000462;8
16;0.000499;8
16;0.000511;8
16;0.000493;8
16;0.000507;8
16;0.000538;8
32;0.000576;8
32;0.000642;8
32;0.000609;8
32;0.000604;8
32;0.000635;8
64;0.000624;8
64;0.000647;8
64;0.000615;8
64;0.000578;8
64;0.000667;8
96;0.000718;8
96;0.000846;8
96;0.00071;8
96;0.000782;8
96;0.000855;8
1;0.001581;9
1;0.001521;9
1;0.001522;9
1;0.001535;9
1;0.001546;9
2;0.000809;9
2;0.000824;9
2;0.000827;9
2;0.000823;9
2;0.000832;9
4;0.000435;9
4;0.000477;9
4;0.000471;9
4;0.000825;9
4;0.000478;9
8;0.000466;9
8;0.000485;9
8;0.000483;9
8;0.000495;9
8;0.000479;9
16;0.000497;9
16;0.000515;9
16;0.000501;9
16;0.000521;9
16;0.000515;9
32;0.000568;9
32;0.000577;9
32;0.000527;9
32;0.000612;9
32;0.00057;9
64;0.000858;9
64;0.000714;9
64;0.000653;9
64;0.000861;9
64;0.000588;9
96;0.000702;9
96;0.000749;9
96;0.000775;9
96;0.000716;9
96;0.000713;9
1;0.006088;10
1;0.005999;10
1;0.006021;10
1;0.005996;10
1;0.005976;10
2;0.003144;10
2;0.003134;10
2;0.003131;10
2;0.003154;10
2;0.003126;10
4;0.001611;10
4;0.001665;10
4;0.001664;10
4;0.001656;10
4;0.00166;10
8;0.001428;10
8;0.001445;10
8;0.001429;10
8;0.001416;10
8;0.001404;10
