blocksize;time(s);mPow_size
256;9.16421e-07;4
256;1.03191e-06;4
256;1.08033e-06;4
256;1.06916e-06;4
256;1.04308e-06;4
256;4.23193e-06;5
256;4.56348e-06;5
256;4.46662e-06;5
256;4.36977e-06;5
256;4.42937e-06;5
256;8.46013e-06;6
256;1.44802e-05;6
256;8.35583e-06;6
256;1.41971e-05;6
256;1.39661e-05;6
256;5.57527e-05;7
256;5.55851e-05;7
256;5.4989e-05;7
256;5.52572e-05;7
256;5.55031e-05;7
256;6.72936e-05;8
256;0.000224486;8
256;0.000222597;8
256;6.66864e-05;8
256;0.000131685;8
256;0.000511844;9
256;0.000683662;9
256;0.000770118;9
256;0.000420734;9
256;0.000988677;9
256;0.0018923;10
256;0.00208603;10
256;0.0023055;10
256;0.0017572;10
256;0.00201352;10
256;0.00813168;11
256;0.00763572;11
256;0.00785549;11
256;0.0076183;11
256;0.00752588;11
256;0.0511701;12
256;0.049514;12
256;0.0499869;12
256;0.0489266;12
256;0.0495587;12
