time(s);mPow_size
1.35601e-06;4
1.43796e-06;4
1.13994e-06;4
6.92904e-07;4
9.46224e-07;4
2.89828e-06;5
2.63005e-06;5
2.84612e-06;5
2.67476e-06;5
3.00258e-06;5
2.86102e-06;6
2.94298e-06;6
2.84612e-06;6
9.28342e-06;6
9.24617e-06;6
1.02371e-05;7
3.72753e-05;7
1.02669e-05;7
4.62085e-05;7
3.68506e-05;7
0.0001406;8
4.28632e-05;8
4.13209e-05;8
0.000140391;8
4.13284e-05;8
0.000196263;9
0.000226773;9
0.00039354;9
0.00065846;9
0.000378355;9
0.000921547;10
0.000949606;10
0.000945561;10
0.000931621;10
0.00095772;10
0.00668705;11
0.00648209;11
0.00640604;11
0.00639988;11
0.0063779;11
0.0505791;12
0.0501023;12
0.0500991;12
0.0500403;12
0.0501157;12
