time(s);mPow_size
2.26498e-06;4
7.59214e-06;4
7.7486e-06;4
7.51019e-06;4
2.13087e-06;4
2.33948e-06;4
8.01682e-06;4
7.6443e-06;4
7.94232e-06;4
7.23451e-06;4
2.39164e-06;4
8.03918e-06;4
7.68155e-06;4
2.16812e-06;4
2.04146e-06;4
2.30223e-06;4
8.00937e-06;4
7.26432e-06;4
2.08616e-06;4
7.45803e-06;4
2.30223e-06;4
7.33882e-06;4
2.01911e-06;4
7.35372e-06;4
7.30157e-06;4
8.00937e-06;5
7.84546e-06;5
2.81259e-05;5
7.71135e-06;5
7.75605e-06;5
7.88271e-06;5
2.79993e-05;5
2.74405e-05;5
2.78428e-05;5
2.74777e-05;5
8.02428e-06;5
2.83793e-05;5
2.78279e-05;5
2.80216e-05;5
2.78652e-05;5
7.83801e-06;5
2.80291e-05;5
2.76864e-05;5
2.75001e-05;5
2.77013e-05;5
8.3223e-06;5
2.80514e-05;5
2.76491e-05;5
2.73436e-05;5
2.76938e-05;5
3.05176e-05;6
5.44488e-05;6
0.000119455;6
0.000108525;6
4.24385e-05;6
3.21865e-05;6
0.000109002;6
0.000108667;6
3.19108e-05;6
3.1881e-05;6
3.02494e-05;6
0.000121541;6
0.000108175;6
0.000108413;6
0.000118382;6
3.21642e-05;6
3.18512e-05;6
0.000107691;6
0.000107579;6
0.000108317;6
3.04356e-05;6
3.02643e-05;6
0.000108495;6
0.000108458;6
3.01152e-05;6
0.000120401;7
0.000131145;7
0.000131078;7
0.000275813;7
0.000420988;7
0.000120394;7
0.000171416;7
0.000120468;7
0.000127479;7
0.000445656;7
0.000127055;7
0.000126965;7
0.000126965;7
0.00012999;7
0.000126824;7
0.000122741;7
0.00027886;7
0.00043986;7
0.000173531;7
0.000234522;7
0.000130296;7
0.000126258;7
0.000428841;7
0.00012622;7
0.000129536;7
0.000480756;8
0.000478886;8
0.000511348;8
0.00111797;8
0.000913233;8
0.00047832;8
0.000506483;8
0.0011103;8
0.000505924;8
0.000506073;8
0.000481248;8
0.000478804;8
0.000823013;8
0.000875108;8
0.000609688;8
0.000476092;8
0.000513308;8
0.00050775;8
0.000934541;8
0.00123335;8
0.000480674;8
0.000476338;8
0.000874355;8
0.0012494;8
0.00123333;8
0.00200871;9
0.00206088;9
0.00227383;9
0.00206425;9
0.00207671;9
0.00201045;9
0.00201461;9
0.00210121;9
0.00200541;9
0.00208006;9
0.00200603;9
0.0020775;9
0.00207136;9
0.00261994;9
0.0021641;9
0.00199897;9
0.00200436;9
0.00200184;9
0.00253281;9
0.0019999;9
0.00199538;9
0.00206526;9
0.00219247;9
0.00266779;9
0.00234118;9
0.00843027;10
0.00845026;10
0.00845587;10
0.00845961;10
0.00847194;10
0.00840937;10
0.00847157;10
0.00848545;10
0.00846646;10
0.00849716;10
0.00842968;10
0.00843392;10
0.0084336;10
0.00843318;10
0.00844214;10
0.00836101;10
0.008408;10
0.00841846;10
0.00840878;10
0.00841327;10
0.00837303;10
0.00837663;10
0.00841016;10
0.00841291;10
0.00837996;10
0.0363132;11
0.0357551;11
0.0355917;11
0.0356968;11
0.0354619;11
0.0361514;11
0.0357575;11
0.035606;11
0.03552;11
0.0355014;11
0.0363358;11
0.0357588;11
0.0356024;11
0.0355083;11
0.0354577;11
0.0359058;11
0.0354208;11
0.0353161;11
0.035181;11
0.0351377;11
0.0357551;11
0.03532;11
0.0351536;11
0.0350923;11
0.0350608;11
0.168232;12
0.169122;12
0.169329;12
0.169604;12
0.169705;12
0.168497;12
0.168893;12
0.169103;12
0.169291;12
0.169823;12
0.167721;12
0.168329;12
0.16876;12
0.168918;12
0.169238;12
0.164944;12
0.16545;12
0.165995;12
0.16608;12
0.165995;12
0.165448;12
0.16591;12
0.166112;12
0.166212;12
0.166443;12
