time(s);mPow_size
1.03563e-06;4
8.27014e-07;4
7.82311e-07;4
1.41561e-07;4
1.86265e-07;4
2.79397e-06;5
2.61515e-06;5
5.81145e-07;5
5.58794e-07;5
5.51343e-07;5
8.45641e-06;6
8.48621e-06;6
8.08388e-06;6
2.37674e-06;6
2.28733e-06;6
7.87526e-06;7
2.79471e-05;7
2.80887e-05;7
7.689e-06;7
7.6741e-06;7
3.12105e-05;8
3.20077e-05;8
3.10615e-05;8
3.0905e-05;8
3.08827e-05;8
0.000149541;9
0.000143118;9
0.000294775;9
0.000142142;9
0.000149123;9
0.000746951;10
0.000746205;10
0.000733346;10
0.000745818;10
0.000746541;10
0.00667545;11
0.00650668;11
0.0064514;11
0.00644146;11
0.00642957;11
0.05305;12
0.0525244;12
0.0525494;12
0.0525126;12
0.0539177;12
