time(s);mPow_size
2.06381e-06;4
7.16001e-06;4
7.27922e-06;4
7.71135e-06;4
7.21961e-06;4
2.79397e-05;5
7.66665e-06;5
2.73138e-05;5
2.71797e-05;5
7.54744e-06;5
0.000107728;6
0.000108056;6
2.98172e-05;6
0.000107646;6
0.000107355;6
0.000126146;7
0.000428639;7
0.000126012;7
0.000129208;7
0.000125937;7
0.00050132;8
0.000974886;8
0.000908352;8
0.000502072;8
0.00130744;8
0.00213825;9
0.00222185;9
0.00254796;9
0.00209744;9
0.00228183;9
0.00832128;10
0.00847164;10
0.00836886;10
0.00835745;10
0.00835928;10
0.0350353;11
0.0346293;11
0.0347431;11
0.0345256;11
0.0345238;11
0.168003;12
0.171393;12
0.165963;12
0.165448;12
0.165188;12
