n_threads;time(s);mPow_size
1;1.0414e-05;4
1;1.05929e-05;4
1;1.03153e-05;4
1;1.00359e-05;4
1;1.0103e-05;4
2;1.40052e-05;4
2;1.30162e-05;4
2;1.27144e-05;4
2;6.16536e-06;4
2;6.57141e-06;4
4;1.56276e-05;4
4;1.27144e-05;4
4;2.902e-05;4
4;1.53854e-05;4
4;2.39741e-05;4
8;1.30758e-05;4
8;1.16695e-05;4
8;1.16713e-05;4
8;1.26734e-05;4
8;1.21258e-05;4
16;1.41151e-05;4
16;1.23996e-05;4
16;1.44728e-05;4
16;1.37091e-05;4
16;1.26436e-05;4
32;1.554e-05;4
32;1.58027e-05;4
32;2.10386e-05;4
32;1.64695e-05;4
32;1.64565e-05;4
64;1.91666e-05;4
64;2.03904e-05;4
64;2.02041e-05;4
64;1.90139e-05;4
64;2.15936e-05;4
96;0.00947837;4
96;0.00779176;4
96;3.07895e-05;4
96;3.25572e-05;4
96;3.10633e-05;4
1;3.0715e-05;5
1;3.09348e-05;5
1;3.09031e-05;5
1;3.04393e-05;5
1;3.05343e-05;5
2;1.90698e-05;5
2;3.09385e-05;5
2;2.99178e-05;5
2;3.03313e-05;5
2;3.04617e-05;5
4;3.51835e-05;5
4;3.22256e-05;5
4;3.28664e-05;5
4;3.46974e-05;5
4;3.19015e-05;5
8;3.34643e-05;5
8;2.9007e-05;5
8;2.73287e-05;5
8;2.99346e-05;5
8;2.65408e-05;5
16;2.67122e-05;5
16;2.66414e-05;5
16;2.86549e-05;5
16;2.5399e-05;5
16;2.8383e-05;5
32;2.95527e-05;5
32;2.95453e-05;5
32;2.92528e-05;5
32;3.05679e-05;5
32;2.8953e-05;5
64;3.58298e-05;5
64;3.3034e-05;5
64;3.44515e-05;5
64;3.374e-05;5
64;3.41143e-05;5
96;0.00946535;5
96;0.00799379;5
96;0.00757173;5
96;0.00842794;5
96;4.70858e-05;5
1;0.000126353;6
1;0.000113793;6
1;0.000113271;6
1;0.000113469;6
1;0.000113102;6
2;0.00011963;6
2;0.000110909;6
2;9.81726e-05;6
2;0.00010841;6
2;9.84538e-05;6
4;9.77591e-05;6
4;8.62051e-05;6
4;0.000101287;6
4;8.71364e-05;6
4;8.56034e-05;6
8;8.21985e-05;6
8;6.17336e-05;6
8;6.11152e-05;6
8;6.16927e-05;6
8;6.01187e-05;6
16;4.45899e-05;6
16;4.33009e-05;6
16;5.25471e-05;6
16;4.54187e-05;6
16;4.19095e-05;6
32;3.41963e-05;6
32;3.24696e-05;6
32;3.92962e-05;6
32;3.27248e-05;6
32;3.48333e-05;6
64;3.81172e-05;6
64;3.61372e-05;6
64;3.83705e-05;6
64;3.78583e-05;6
64;3.87579e-05;6
96;4.52809e-05;6
96;4.34145e-05;6
96;4.65978e-05;6
96;4.82947e-05;6
96;4.87734e-05;6
1;0.000123205;7
1;0.000265952;7
1;0.000215959;7
1;0.000442289;7
1;0.000453802;7
2;0.000124281;7
2;0.000365555;7
2;0.000372862;7
2;0.000349989;7
2;0.000374479;7
4;0.00014344;7
4;0.000143507;7
4;0.000246981;7
4;0.000252483;7
4;0.000239922;7
8;0.000234473;7
8;0.000200661;7
8;0.000188924;7
8;0.000192968;7
8;0.000197079;7
16;0.000148486;7
16;0.000140002;7
16;0.000143498;7
16;0.00014442;7
16;0.000143129;7
32;8.57227e-05;7
32;8.80808e-05;7
32;8.8267e-05;7
32;9.09921e-05;7
32;8.95951e-05;7
64;6.2054e-05;7
64;6.52038e-05;7
64;6.46953e-05;7
64;0.000179175;7
64;7.28834e-05;7
96;0.00950924;7
96;0.000426173;7
96;7.14641e-05;7
96;7.27829e-05;7
