time(s);mPow_size
8.71718e-07;4
8.12113e-07;4
8.34465e-07;4
7.78586e-07;4
7.86036e-07;4
2.26498e-06;5
2.52202e-06;5
2.44752e-06;5
2.51085e-06;5
2.39909e-06;5
8.82149e-06;6
8.9705e-06;6
8.89227e-06;6
8.97422e-06;6
8.93325e-06;6
1.6354e-05;7
3.94322e-05;7
3.95663e-05;7
3.9611e-05;7
1.63391e-05;7
0.000122964;8
9.38252e-05;8
0.000161402;8
0.000171579;8
0.000149723;8
0.000675723;9
0.00086898;9
0.000910021;9
0.000776488;9
0.000752594;9
0.00161247;10
0.00161623;10
0.00165211;10
0.00205155;10
0.00177697;10
0.0253304;11
0.0256822;11
0.0251886;11
0.0251608;11
0.0252243;11
0.121855;12
0.123822;12
0.111423;12
0.111199;12
0.111034;12
