time(s);mPow_size
7.59959e-07;4
6.10948e-07;4
5.7742e-07;4
6.14673e-07;4
5.73695e-07;4
1.49757e-06;5
1.37463e-06;5
2.01166e-06;5
2.01911e-06;5
2.02656e-06;5
7.68527e-06;6
8.37445e-06;6
8.37818e-06;6
4.88758e-06;6
4.99561e-06;6
3.17618e-05;7
3.15942e-05;7
1.36942e-05;7
1.36755e-05;7
1.36942e-05;7
7.06241e-05;8
8.44076e-05;8
0.000142593;8
0.000141267;8
0.000150137;8
0.000407912;9
0.00086195;9
0.000729658;9
0.000855714;9
0.00110542;9
0.00153614;10
0.00155771;10
0.00168255;10
0.00190171;10
0.00179184;10
0.0250903;11
0.0252148;11
0.0250039;11
0.0253565;11
0.0252761;11
0.122722;12
0.127081;12
0.111494;12
0.111108;12
0.110929;12
