time(s);mPow_size
1.29268e-06;4
1.08406e-06;4
1.0021e-06;4
1.0021e-06;4
1.01328e-06;4
4.04939e-06;5
3.48315e-06;5
3.42354e-06;5
3.48315e-06;5
3.42354e-06;5
1.35452e-05;6
1.3385e-05;6
1.33738e-05;6
1.11312e-05;6
1.11461e-05;6
6.26966e-05;7
2.58312e-05;7
5.65797e-05;7
5.65462e-05;7
5.84349e-05;7
0.000217162;8
0.000241876;8
0.000229936;8
6.20447e-05;8
0.000217304;8
0.000436001;9
0.00117751;9
0.000867736;9
0.000436157;9
0.000509858;9
0.00182799;10
0.00212669;10
0.00231151;10
0.00189316;10
0.00224507;10
0.0211773;11
0.0218933;11
0.021495;11
0.0210325;11
0.021698;11
0.105524;12
0.113547;12
0.0978698;12
0.0977399;12
0.0975899;12
